PROVIDER_NAME,PROVIDER_SPECIALTY,PROVIDER_ADDRESS,PROVIDER_PHONE
Celinda Williams-Jeanbaptiste MD,71U4274,Gastroenterology,"8000 Hazel Mill Road, Asheville, North Carolina  28806",512-398-6704
Bobbie Perez MD,8047572,Emergency Medicine,"7300 Prairie Grove, East Prairie, Missouri  63845",565-256-1149
Matias Castillo MD,21M1150,Internal Medicine,"4300 195th Street SE, Velva, North Dakota  58790",518-689-1700
Adam Hughes MD,3271716,Internal Medicine,"2300 SW 104th Avenue, Miami, Florida  33165",435-238-3826
Robert Wright MD,4236426,Urology,"8900 E 8th Street, Clovis, New Mexico  88101",913-555-2484
Sandra Rogers MD,04M4446,Internal Medicine,"9100 Crossbridge Drive, Westminster, Maryland  21158",826-632-5771
Cheryl Deloach MD,4959021,General Surgery,"7200 Rd326, Grant, Nebraska  69140",842-688-7274
Eileen Yang MD,8199122,Internal Medicine,"5400 184th Street, Artesia, California  90701",801-802-8320
Joshua Mata MD,9219163,Pediatrics,"8000 Bartley Drakestown Road, Flanders, New Jersey  07836",516-384-1983
Jacob Ho MD,18Y6969,Internal Medicine,"9800 Radburn Street, Woodbridge, Virginia  22191",478-674-2227
George Fung RN,6737994,Ophthalmology,"8600 130th Street W, Saint Paul, Minnesota  55124",848-632-5917
Michelle Barnes MD,47S3886,General Surgery,"2000 E Industry Street, Covington, Louisiana  70433",540-805-1661
Tracy Knott MD,6910705,Internal Medicine,"700 Riviera Court, Fort Lauderdale, Florida  33332",658-834-5701
Phillip Thompson MD,92Z7470,Dermatology,"300 Grose Lane, Sparks, Nevada  89431",504-738-4578
Mary Black PA-C,33Y0403,Internal Medicine,"9500 Lincoln Circle, Dayton, Ohio  45434",560-486-9455
Karen Horn MD,41U0933,Family Medicine/General Practice,"1300 Sue Jean Drive, Richmond, Virginia  23234",229-521-2885
Barbara Mcnamara MD,1413654,Orthopedic Surgery,"3600 US Highway 62, Buffalo, New York  14212",214-683-1644
Kenneth Rivera RN,95M1565,Internal Medicine,"5800 Oak Park Court, Friendswood, Texas  77546",649-982-0436
John May RN,5982564,Anesthesiology,"7600 Rock Street, Brooklyn, New York  11206",628-640-6334
Andrea Bennett-Burton MD,8400682,Neonatal-Perinatal Medicine,"5300 S Flanders Street, Aurora, Colorado  80015",417-831-8729
Sarah Bair MD,7266600,Urology,"800 E Sims Avenue, Saint Paul, Minnesota  55106",502-439-1874
Randall Weaver RN,7276664,Endocrinology Diabetes and Metabolism,"6100 Lone Oak Drive, Mason, Michigan  48854",862-907-1488
Wilma Santiago MD,7226800,Internal Medicine,"3400 College Street, Houston, Texas  77017",420-828-8584
Jacqueline Whitehead MD,9101089,Internal Medicine,"9300 Explorer Terrace, Midlothian, Virginia  23114",720-936-8185
Shaun Langley RN,0477155,Otolaryngology,"600 Mowler Court, Charleston, South Carolina  29414",906-270-5806
Gloria Puga MD,3225690,Internal Medicine,"7600 46th Street, Brooklyn, New York  11220",427-817-4113
Lesly King PA-C,34Y1358,Geriatric Medicine,"9400 S Hutchinson Street, Philadelphia, Pennsylvania  19147",540-238-0412
Martina Garcia RN,4307791,Radiology and Diagnostic Radiology,"6300 W Gibson Avenue, Fresno, California  93722",239-996-9112
David Tyson MD,12W3229,Internal Medicine,"3600 S Queensway Drive, Tampa, Florida  33617",620-332-2659
Lauren Smith RN,77S3424,Ophthalmology,"3500 Sandra Drive, New Orleans, Louisiana  70114",776-804-8608
Daniel Orozco MD,80Y5885,Pediatrics,"7000 Gun Club Road, Independence, Oregon  97351",608-675-8403
Jessica Campbell MD,19U8902,Family Medicine/General Practice,"1200 Hampton Place, Brooklyn, New York  11213",682-559-7591
Madeline Larson MD,7428372,Psychiatry,"4600 Leonard Street, Grants Pass, Oregon  97526",915-964-0898
Cristian Dunn PA-C,88S9033,Emergency Medicine,"5500 N Kirklyn Avenue, Upper Darby, Pennsylvania  19082",789-744-5833
Jeremy Romo MD,0829252,Psychiatry,"7600 Larch Avenue, Inglewood, California  90304",483-291-6175
Nicholas Wong MD,44Y9574,Anesthesiology,"6000 Buxton Court, Murrieta, California  92563",872-630-2820
Laura Mccary MD,7515306,Child and Adolescent Psychiatry,"6100 Logan Avenue, Bronx, New York  10465",832-954-3546
Terry Paz MD,89W9771,Family Medicine/General Practice,"5600 43rd Avenue N, North Myrtle Beach, South Carolina  29582",616-961-2120
Paul Miller PA-C,81W6061,Family Medicine/General Practice,"7700 Vesper Avenue, Van Nuys, California  91405",646-902-4279
Megan Best MD,6646892,Vascular and Interventional Radiology,"9200 Barkley Road, Chippewa Falls, Wisconsin  54729",630-760-1464
Donna Busby MD,0120631,General Surgery,"7800 Laverne Street, Smithville, Tennessee  37166",976-434-6260
Daphne Nielsen DO,26U2423,Radiology and Diagnostic Radiology,"4200 Stone Mill Road, Hudson, New Hampshire  03051",260-952-4982
Kelly Bell MD,02S5313,Internal Medicine,"3600 Trotter Drive, Baker, Louisiana  70714",617-590-2184
Diana Stover PA-C,4411949,Emergency Medicine,"4500 Georges Trail, Terrell, Texas  75160",539-291-2911
Jama Montes MD,4077680,Orthopedic Surgery,"4500 County Road 52, Adel, Georgia  31620",643-408-8988
Mildred Puentes RN,57W7368,Obstetrics and Gynecology,"4700 Desoto Street, East Mc Keesport, Pennsylvania  15035",789-727-3470
Daniel Reed MD,26U9321,Emergency Medicine,"4400 S 74th Street, Lincoln, Nebraska  68506",425-880-3993
Torey Pierce MD,73U1426,Psychiatry,"7600 Montrose Street, Detroit, Michigan  48235",448-365-9331
Shantel Messer MD,91T9801,Pediatrics,"4900 W Beamish Road, Coleman, Michigan  48618",941-472-7123
Maritza Phillips RN,6710988,Neurology,"1400 Tufts Street, Malden, Massachusetts  02148",704-506-9072
Jeffery Britt MD,9477883,Family Medicine/General Practice,"2700 Collins View Way, Clarksville, Tennessee  37043",623-320-2626
Thomas Rogers MD,7663149,Anesthesiology,"5000 Greer Farm Drive, Montgomery, Alabama  36110",515-291-6323
Barbara Showalter MD,4740329,Internal Medicine,"5800 Crest Hill Drive, Tarpon Springs, Florida  34689",810-370-7853
Peter Healy RN,1129239,Preventive Medicine,"200 SE Orchard View Lane, Clackamas, Oregon  97015",339-954-6542
Stephanie Ridgeway MD,26W6480,Anesthesiology,"7100 Bp 291-1, Arcadia, Louisiana  71001",669-874-7776
Shane Collins MD,02Z5098,Vascular and Interventional Radiology,"2000 Golfito Way, La Grange, California  95329",352-704-8775
Bradley Maloney MD,4671815,Psychiatry,"4900 30th Street SE, Fargo, North Dakota  58105",273-233-4496
Ginger Lee MD,0897469,Cardiovascular Disease,"800 Rue Crozat, Baton Rouge, Louisiana  70810",837-724-4153
Richard Lee MD,32M4613,Neurology,"2400 N 2nd Street, Cedar Grove, Wisconsin  53013",860-757-2225
Gorge Diamond MD,7556793,Internal Medicine,"5600 W Groeling Avenue, Milwaukee, Wisconsin  53206",445-490-8243
Brian Garcia MD,71W5809,Dermatology,"3800 Jackson Avenue, Huntington, West Virginia  25704",676-591-7996
Doris Moen PA-C,8418211,Family Medicine/General Practice,"6200 Pine Ridge Drive, Madison, Mississippi  39110",821-920-0142
Cora Blankenship MD,7270267,Pediatrics,"100 Meadow Lane, Glenville, West Virginia  26351",352-778-2342
Gary Whitehead MD,2955975,Radiology and Diagnostic Radiology,"2500 Cook Street, Charlestown, Massachusetts  02129",417-575-1413
Judith Smith MD,79W1024,Vascular Surgery,"100 124th Place, Kew Gardens, New York  11415",612-823-2077
Donna Hayden DO,21Z8411,Internal Medicine,"800 Diamond Street, Fairmont, West Virginia  26554",404-813-0138
Tamika Knight MD,0316411,Internal Medicine,"8200 435 Road, Stanberry, Missouri  64489",608-501-2161
Jennifer Nichols RN,17U7717,Obstetrics and Gynecology,"1200 Whittier Drive S, Lancaster, Ohio  43130",743-418-0795
Kyle Haase MD,79S1635,Psychiatry,"9900 Irise Court, Orlando, Florida  32807",224-453-1602
Kasey Delgado MD,06Y6998,Psychiatry,"4300 Dupard Street, Mandeville, Louisiana  70448",916-503-2515
Jesse Batista MD,17W6666,Internal Medicine,"7200 Lawrence Avenue, Citrus Heights, California  95610",486-785-8645
Phillip Wolfe MD,2079782,Anesthesiology,"2600 W William Street, San Jose, California  95110",352-470-9062
Lori Nelson DO,8833103,Internal Medicine,"9200 Moody Avenue, Freeport, New York  11520",726-430-0826
Damon Miller MD,52W4058,Psychiatry,"7300 NW Landon Road, Topeka, Kansas  66618",764-724-1001
Joyce Stratton RN,6777188,Pain Medicine and Pain Management,"7600 303rd Street Way, Cannon Falls, Minnesota  55009",989-362-9266
Howard Mckee MD,02T1496,Urology,"5800 Cr 106, Marlin, Texas  76661",675-507-4866
Nicholas Pearson DO,8849397,Gastroenterology,"8800 Hopkins Road, Moravia, New York  13118",541-566-0020
Micheal Breeden MD,17M3328,Internal Medicine,"9800 Jane Street, Wooster, Ohio  44691",765-467-7657
Robert Meza PA-C,8744611,Family Medicine/General Practice,"6600 Grandview Avenue, Morrisville, Pennsylvania  19067",636-622-3162
Tyson Bates MD,5450349,Internal Medicine,"9600 W 1840 South Street, Orem, Utah  84058",272-748-0915
Danielle Christ PA-C,5557066,Dermatology,"4600 2nd Street, Pensacola, Florida  32507",487-899-3824
Jessica Burgess RN,8026965,Anatomic/Clinical Pathology,"200 Nicolas Drive, Fullerton, California  92833",715-277-4888
Katherine Shane MD,3329797,Pulmonary Disease,"3600 Sunset Bay Road, Hot Springs National Park, Arkansas  71913",621-623-2144
Neil Bohannon MD,6843124,Dermatology,"4900 Zettler Road, Columbus, Ohio  43227",871-605-5235
Leslie Lewis MD,34Y3343,Internal Medicine,"7700 Blacker Road, West Sacramento, California  95691",660-243-5578
Christopher Smith RN,36Y0819,Urology,"9500 Zenith Ridge Drive, Danville, California  94506",462-959-3446
Sarah Best MD,66Z4371,Internal Medicine,"6300 Wabash Avenue, Joliet, Illinois  60432",687-752-3081
Cynthia Tanner MD,58W7855,Urology,"3400 Hoff Road, Marshfield, Wisconsin  54449",737-921-4317
David Lofton MD,4583561,Internal Medicine,"1000 Dorset Drive, Wheaton, Illinois  60187",642-336-6082
Mona Chapa RN,58U2070,Pediatrics,"4900 Rosebay Street, Eugene, Oregon  97402",625-339-6320
Luis Evans MD,77U6676,Internal Medicine,"8200 Brooks Road, Granite Falls, North Carolina  28630",248-970-4971
Grace Duncan RN,78Y4572,Family Medicine/General Practice,"7200 Willow Lane, Overland Park, Kansas  66213",383-627-2043
Daniela Kilpatrick RN,2858575,Anesthesiology,"6900 Herring Avenue, Waco, Texas  76708",837-339-0894
Terri Goad MD,5314835,Family Medicine/General Practice,"1900 Crenshaw Boulevard, Los Angeles, California  90019",624-376-0449
Marilyn Crane MD,20U4734,General Surgery,"2500 NW 9th Drive, Pompano Beach, Florida  33071",651-431-0582
Cynthia Martinez RN,28T2135,Internal Medicine,"3300 Twin Ridge Avenue, Baton Rouge, Louisiana  70817",837-380-4942
William Maldonado RN,87S0041,Family Medicine/General Practice,"6800 Esplanade Gardens Plaza, New York, New York  10039",582-722-3843
Heather Vaughan MD,5245737,Anatomic/Clinical Pathology,"9600 W Vine Street, San Bernardino, California  92410",471-950-4501
Kathleen Carr RN,7695125,Family Medicine/General Practice,"6800 NE 149th Court, Bothell, Washington  98011",253-498-3159
Joseph Greene MD,8507861,Internal Medicine,"3900 Abby Road, Auburn, Alabama  36830",404-663-4097
Georgia Marshall MD,6948242,Internal Medicine,"6300 E Garfield Avenue, Milwaukee, Wisconsin  53212",470-333-7219
Lila Mccord MD,84Z2837,Obstetrics and Gynecology,"200 SE 78th Crowfield Avenue, The Villages, Florida  32162",605-251-5493
Roger Swanson RN,5034623,Anesthesiology,"4200 Mill Street, Bolivar, New York  14715",232-442-9085
Andrew Hargis RN,00W3090,Anesthesiology,"9600 West Street, Deer Lodge, Montana  59722",748-465-7465
Charles Ishibashi MD,19W0160,Emergency Medicine,"7000 County Road 194, Lawson, Missouri  64062",910-418-2823
David Williams MD,2893064,Nephrology,"9800 Corral Creek Road, Kemmerer, Wyoming  83101",664-513-7464
Lindsay Gomez MD,51W2287,Family Medicine/General Practice,"1800 Wall Street, Windfall, Indiana  46076",213-541-5991
Paula Huey MD,97M3788,Internal Medicine,"9000 I Street, Carlisle, Pennsylvania  17013",783-695-5914
Benjamin Roberts RN,28Y6972,Internal Medicine,"5600 N Creek Road, Little Falls, New York  13365",415-541-2757
Earnestine Williams MD,0093214,Rheumatology,"8400 Worthington-New Haven Road, Marengo, Ohio  43334",267-257-3576
Ilana Cummings MD,59Y0807,Critical Care Medicine,"1800 North Frances Street, Dallas, Texas  75211",746-717-7197
Stefan Guffey RN,2807866,Gastroenterology,"4500 Christian Drive, Oshkosh, Wisconsin  54901",826-616-4866
James Flynn RN,6793578,Internal Medicine,"3600 6th Street, Dravosburg, Pennsylvania  15034",652-553-3762
Jason Lewandowski PA-C,28T1554,Anesthesiology,"800 SW Marathon Avenue, Port Saint Lucie, Florida  34953",342-278-8208
Scott Owen MD,1804618,Orthopedic Surgery,"8700 E Coleman Circle, Sanford, Florida  32773",245-822-8719
Lisa Perkins MD,1333540,Emergency Medicine,"4900 Massachusetts Avenue, Panama City, Florida  32404",682-814-2119
Kenneth Hales MD,4361609,Cardiovascular Disease,"5200 SW 16th Avenue, Miami, Florida  33145",856-359-8399
Diane Martinez MD,50W0908,Internal Medicine,"6400 Chapel Court, San Leandro, California  94579",987-954-9265
Romy Rodriguez MD,4444109,Sports Medicine,"8300 Lea Berry Way, Haymarket, Virginia  20169",335-867-1094
Anton Maxwell RN,2641913,Anesthesiology,"600 Ida East Road, Ida, Michigan  48140",286-364-4762
Janet Hinkle MD,5310196,Internal Medicine,"400 Lewis Pl SW, Seattle, Washington  98116",826-652-3844
Anahi Jenkins RN,66S3329,Anesthesiology,"2800 N Miller Street, West Liberty, Iowa  52776",806-369-6522
Jessica Tucker MD,34S7098,Family Medicine/General Practice,"8100 Court F Street, Tacoma, Washington  98405",735-460-9102
Billy Taylor PA-C,71W2375,Internal Medicine,"9500 County Road 233, Sumter, South Carolina  29154",413-508-3348
Andrew Lloyd MD,66S1223,Gastroenterology,"4200 Emily Court, Harrison Township, Michigan  48045",848-933-7201
Linda Smith MD,13Z3227,Family Medicine/General Practice,"5100 Thomas Street, Brockton, Massachusetts  02302",427-562-5129
Rusty Lockhart RN,2542602,Psychiatry,"6500 West Cambridge Avenue, Avondale, Arizona  85392",418-331-9717
Rebecca Mayer MD,13T9933,Otolaryngology,"5100 Smallwood Drive, San Antonio, Texas  78210",407-387-6831
Ryan Costello PA-C,29U4478,Emergency Medicine,"2200 Redwood Court, Bonduel, Wisconsin  54107",941-688-1877
William Elliott MD,7216490,Radiology and Diagnostic Radiology,"7800 Fairfield Street, Portland, Maine  04103",868-884-4296
